Message,Hatespeech,Sentiment
วันๆ นี่คุยกะหมา แมว หมู ไก่ ม้า ควาย มากกว่าคุยกับคนไปละ,nonhatespeech,Unknown
หล่อมากกก หล่อวัวตายควายล้มกันเลยทีเดียวววว,nonhatespeech,Unknown
สิวเหี้ยไรขึ้นหลังหู เสียชาติเกิดมั้ย เกิดมามันต้องต้องโดดเด่นเด้งดึ๋งอย่าเช่นขึ้นที่หน้าไรงี้ อีควาย,nonhatespeech,Unknown
อ่ะ ป่วยก็ป่วย งานจ้างก็ต้องทำ งานเรียนก็ต้องทำ วิชาดีไซน์ตัวร้ายกับควายอย่างกูเอง,nonhatespeech,Unknown
นี่ก็เพิ่งรู้ว่า เกิดชาตินี้ชาติเดียว เป็นทั้ง เหี้ย เป็นทั้ง ควาย เลย คุ้มแท้ๆ 😆,hatespeech,Unknown
โว้ยอีควาย หนักกว่ากูก็มึงอะ,hatespeech,Unknown
"ขอโทษ นะครับ อยากได้ควายให้ไปคบกับคนอื่นนะ
พอดีกูคนไม่ใช่ควาย ☻",hatespeech,Unknown
ปลั๊กไฟอยู่พื้น เลยลงมานอนบนพื้น อีควาย ไฟจะดูดกูมั้ย เสียบชาร์จไฟก็แลบออกมา อีเหี้ยยย,nonhatespeech,Unknown
"กูมันโง่เองที่ยังเชื่อคำสัญญาบ้าบอของคนคนนึงอยู่...
...กูนี้มันควายจริงๆ #😏",nonhatespeech,Unknown
ควายมันอยู่บนดินไง มันบินไม่ได้,nonhatespeech,Unknown
เมื่อเช้าก็ควาย ตอนนี้ก็หมา ใครทำไรมึง twitter.com/qxzs91/status/…,nonhatespeech,Unknown
ความคิดต่ำๆอีควาย ไม่ให้เกียรติผู้หญิง สันดาน,hatespeech,Unknown
ควายแดงเมิงด่ารัฐบาลจนรองนายกป่วย พวกมึงกำลังทำลายชาติรู้มั้ย มั้ย มั้ย มั้ยยยยยยยยย news.voicetv.co.th/thailand/51672…,hatespeech,Unknown
เออ มันปากหมา กูรู้ แต่กูรักไง กูรักไปแล้วเว้ย ทำไงได้ว้ะ ไม่เป็นกูไม่รู้หรอก มุมดีๆมันก็เยอะจนกูลืมไม่ลงเหมือนกันแหละ แม่ง !!,nonhatespeech,Unknown
"เมือเราถูกเข้าใจผิด...สิ่งที่ยากที่สุดคือพยายามปรับความเข้าใจกับ..ควาย..ด้วยภาษา...คน

#ชมรมครูฝึกยิงปืน",hatespeech,Unknown
ปฏิวัติมาแทบตาย สุดท้ายได้ควายเป็นนายก #กะลาแลนด์,hatespeech,Unknown
คนไทยจะโกรธมากถ้าพูดว่าสีซอให้ควายฟัง ทั้งๆที่ตัวเองไม่รับฟังความเห็นของผู้อื่น ยึดติดในความคิดของตัวเอง ชาติไม่เจริญไม่โทษใคร #คุนต่อยอด,hatespeech,Unknown
บางทีก็สงสัยนะว่าตัวเองเลี้ยงหมาหรือหมูหรือหมีขาวล่าสุดเลี้ยงแกะอ้วน,nonhatespeech,Unknown
รองเท้าใหม่ก็กัดจริงกัดจัง เป็นหมาหรอสาด,nonhatespeech,Unknown
พวกมอเตอร์ไซค์ที่จอดติดไฟแดงไม่เป็น ต้องวิ่งฝ่าออกไป พวกนี้คุณภาพชีวิตต่ำกว่าหมาอีกนะ มันพร้อมตายได้ทุกเมื่อ ตายแล้วเสือกเดือดร้อนคนอื่นอีก,hatespeech,Unknown
ก็แค่หมาที่คิดว่าตัวเองเป็นสิงห์,nonhatespeech,Unknown
คนที่เกลียดหมาแมว ลองทำใจแค่วันเดียว หยิบยื่นให้เขาบ้าง fb.me/2KdrpD9UQ,nonhatespeech,Unknown
สงสัยปากหมาเกินเยียวยา,hatespeech,Unknown
อห.หมาหอน แล้วคนข้างบ้านตาย อห.อย่ามาหลอกนะ กูแช่งจริงๆด้วย กูไม่ได้โกหก😡🖕🖕,nonhatespeech,Unknown
เป็นหมาก็ดีนะไม่ต้องโดนดุโดนบ่นโดนว่า ก็ดีอ่ะ,nonhatespeech,Unknown
เหมือนหมาตัวนึงที่รอเจ้าของมาเล่นด้วยเวลาที่เขาว่างอ่ะ,nonhatespeech,Unknown
เลือกเพื่อนนี่ ต้องดูให้ดีแค่ไหนวะ คนไหนจริงใจคนไหนตอแหล,nonhatespeech,Unknown
คือหนูจะเป็นคนตอแหลแบบนี้ไปตลอดชีวิตเลยเหรอ,hatespeech,Unknown
เวลาพูดแล้วไม่มีความจริงในนั้นอ่ะรู้สึกอะไรบ้างปะวะ หรือเพราะเป็นตอแหลเลยไม่รู้สึกอะไรเลย,hatespeech,Unknown
บางคนออร่าตอแหลแรงมาก มองจากดาวอังคารลงมายังรู้เลยว่าไม่จริิงใจ,hatespeech,Unknown
ต้องทักทายด้วยสีหน้าตอแหลยิ้มแย้มแจ่มใส กับสิ่งที่มึงทำกับกูงี้หรอ,hatespeech,Unknown
"สนุกจังโว้ย

เวลาแช่งทีมอื่น",nonhatespeech,Unknown
แอนตี้ดูมีความสุขกับการโดนด่า พอโดนด่าก็แถ พอโดนด่าว่าตอแหลก็รับไม่ได้ เอิ่มจ้าๆ,hatespeech,Unknown
"เก่งจริงก้มาต่อหน้า ไม่ต้องโพสต์ด่า ลูกหมาหน้าจอ😏
#คำคม #คําคมโดนๆ #คำคมเด็ดๆ #คําคมชีวิต #คําคมเสี่ยว #คําคมแรงๆ #เก่งแต่ปากกากการกระทำ",hatespeech,Unknown
แช่งให้พ่อแม่คนอื่นตายถ้าตอแหล แต่ดันโครมเข้าบ้านมึง สงสัยน่าจะได้กระเช้าแบบพวงหรีดเร็วๆนี้,hatespeech,Unknown
ก็อย่างว่าแหละ คนพวกเดียวกัน มันก็อยู่ด้วยกันได้ไง ตอแหล ไร้สาระเหมือนกันไง,nonhatespeech,Unknown
พอเถอะ อย่ามาตอแหลกับกูอีกเลย ไม่ได้อยู่ในฐานะที่ต้องมานั่งโกหกกันแล้วอ่ะ,hatespeech,Unknown
ชีวิตเหมือนเกิดมานอนโง่ๆแล้วตายจากไป..,nonhatespeech,Unknown
การเปิดใจกลับกลายเป็นความโง่,nonhatespeech,Unknown
หลายคนวิเคราะห์มีหลักการมาก แต่เราก็ไม่เข้าใจอยู่ดีค่ะ เราโง่,nonhatespeech,Unknown
ไม่อยากไปรร.อ่ะ ปวดหัว ปวดตีนปวดตีนด้วยความโครตโง่,nonhatespeech,Unknown
เหี้ยไม่พอ โง่ซ้ำซาก,hatespeech,Unknown
เจ้าภาพมาเลเซียแม่งโง่วะ ยุคโซเชี่ยลแทนที่จะทำดีๆ คนจะได้กลับไปท่องเที่ยวอัก นี่เหี้ยทั้งโรงแรม ทั้งน้ำใจ.,hatespeech,Unknown
- ยอมให้ ไม่ได้หมายความว่าโง่,nonhatespeech,Unknown
อย่าไปโชว์ความโง่ของตัวเองให้คนอื่นดูเลย,nonhatespeech,Unknown
แล้วอีกอย่างนะ เห็นคนนั้น คนนี้ทำอะไรแล้วได้เงิน พอทำเองบ้างเสือกเจ๊ง แล้วมาว่าคนไม่ดี โง่เองป่าววะ,nonhatespeech,Unknown
มีเวลาก็หัดศึกษาเองบ้างสิคะ อิโง่ คนเค้ารู้เค้าถึงตอบ ไม่รุแล้วมาเหวี่ยงใช่เรื่องป่ะ ทุเรส ออกงานมีเวลาก็หัดดูเอง ไม่ใช่รอให้คนอื่นมาประเคน,hatespeech,Unknown
ประชาชนเลว ประชาชนชอบใส่ร้าย ประชาชนโง่ ประชาชนถูกจ้างมา ทหารคนดีมากครับ pic.twitter.com/9FyOibUGLX,hatespeech,Unknown
ทำไมมันชอบบ่นว่าตัวเองอ้วน ควรบ่นความตอแหลตัวเองมากกว่า,hatespeech,Unknown
ใน ทวต. นี่มันก็ฮาดีนะมันจะมีคนโง่ในโง่อีกที ที่คนฟอลเยอะๆและทำตัวเหมือนรู้ทุกสิ่งอะ แต่เสือกเป็นคนที่โง่มากๆในสายตาของคนที่รู้ความจริง😒,hatespeech,Unknown
อวยพรไปงั้นอ่ะ ในใจกูแช่งให้พวกมึงไปกันไม่รอดอยู่ รู้ไว้ไอ่โง่,hatespeech,Unknown
ไม่มีสัจจะในหมู่คนเลวนะอีหนู!!!,nonhatespeech,Unknown
ยามบ้านเมืองวิกฤติ ดี เลว ถูก ผิด มองไม่ชัด มีแต่ แข็ง อ่อน สูง ต่ำ รวย จน และผู้พิชิตคือวีรบุรุษ ผู้แพ้คือโจร (โจโฉ),nonhatespeech,Unknown
เห็นแฟนเปลี่ยนสีผม นี่เลยไปทำสีบ้าง สีพลาดไปรอบนึงต้องแก้ใหม่😂😂😂 สุดท้ายสีที่ได้ก็ไม่ได้เลวร้ายอะไรนะ แค่ไม่ใช่สีที่เลือกไว้ตอนแรกแค่นั้น😂,nonhatespeech,Unknown
ความจริงแม่งก็เลวไม่ต่างกันมากหรอก,hatespeech,Unknown
"ยิ่งโตยิ่งเชื่อในประโยคที่ว่า ""โลกแม่งจะสอนให้เราเลวขึ้น""",nonhatespeech,Unknown
อย่างน้อยช่วงเวลาที่เลวร้ายที่สุดในชีวิต มันทำให้เราได้เรียนรู้ว่าทุกปัญหามีทางออกเสมอ ไม่ว่าปัญหานั้นจะเล็กหรือใหญ่เพียงใด 🤞🏻🤞🏻,nonhatespeech,Unknown
ไม่มีใครดีที่สุด ไม่มีใครเลวที่สุด ถ้ายังรู้จักกันไม่ถึงที่สุด😌,nonhatespeech,Unknown
ทำดีมาทั้งชีวิต พลาดครั้งเดียวกลายเป็นเลวไม่มีชิ้นดี,nonhatespeech,Unknown
คำพูดนี่มีพลังจริงๆคนที่พูดเอาดีเข้าตัวเอาชั่วให้คนอื่น ทั้งที่ฝ่ายดีก็ชั่วพอกัน แต่แค่ไม่มีคนเล่า คนก็มองว่าฝ่ายชั่วว่าเลวอยู่ฝ่ายเดียวละ,nonhatespeech,Unknown
ผู้ชายคนนึงบนรถเมล์พูดว่าแฟนซื้อของให้บ่อยราคาแพงๆ ไม่ได้ดูน่าอิจฉานะ ดูเหี้ยอะ แมงดา,hatespeech,Unknown
"ถึงเป็นเหี้ยเป็นยักษ์ยังรักลูก
มึงต้องถูกสาบแช่งแรงกว่าเหี้ย
จิตใจเลวร้ายไม่ไหวจะเคลียร์
อิหัวใจต่ำเตี้ยกว่าโคลตม
#กูยังโกรธ",hatespeech,Unknown
อีสิวเลว เหมือนรู้เลยนะว่าจะเปิดเทอมแล้ว แย่งกันขึ้นเชียว! ขอบคุณจ้ะ,nonhatespeech,Unknown
ชอบแมงดาขนาดนี้ เป็นกะหรี่ป่ะจ๊ะ,hatespeech,Unknown
สมเป็นหัวหน้าคนชั่ว.👍5555555,hatespeech,Unknown
ใครที่ดูถูกว่ารับงาน ว่ากะหรี่ เชิญคุณดูถูกได้ตามสบายค่ะ คนเรามีโอกาสในชีวิตต่างกัน,nonhatespeech,Unknown
งงตัวเองมากอ่ะ คือชอบคนเยอะมาก นี้กูเป็นกะหรี่ หรือยังไง5555  เด็กเกินจะเข้าใจความรักสิน่ะ,nonhatespeech,Unknown
อยากกินปูผัดผงกะหรี่,nonhatespeech,Unknown
กินแกงกะหรี่... เจอแกงเหลืองอ๋อย ติดหวาน ใส่มันฝรั่งและแครอท คำถามคือ นี่เป็นแกงสูตรประเทศอะไร,nonhatespeech,Unknown
